Sample_Num,OID_,Date,Latitude,Longitude,Elevation,Rock_Class,Rock_Type,Petrology,Geochemistry,DZ,Geochron,Thermochron,Structure,Biostrat,RSCM,Other,Notes,Project,Transect,S_Domain,Sub_S_Domain,Unit,Period,Epoch,Age,Barrel,Bags,Location,GlobalID,created_user,created_date,last_edited_user,last_edited_date
G22039,55,8/30/2022 12:43:38,42.955641,42.19319,595.5,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,,MzMg,Enguri,Khaishi,S Limb of Khaishi Syncline,J2hd2,Jurassic,Middle,Bajocian,1,1,Davis,{565847F9-2417-4355-B502-CAB168B5322B},davasey@ucdavis.edu_ucdavis,8/30/2022 12:40:05,davasey@ucdavis.edu_ucdavis,8/30/2022 12:43:55
G22041A,58,8/30/2022 13:36:21,42.952239,42.193136,591.0,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,pink calcite amygdules,MzMg,Enguri,Khaishi,S Limb of Khaishi Syncline,J2hd2,Jurassic,Middle,Bajocian,1,1,Davis,{5AF97A27-B7D5-4F2B-AEFF-039F2F76C50C},davasey@ucdavis.edu_ucdavis,8/30/2022 13:15:21,davasey@ucdavis.edu_ucdavis,8/30/2022 13:36:31
G22041C,60,8/30/2022 13:37:00,42.952238,42.193134,591.2000122,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,2nd flow above seds in 041B,MzMg,Enguri,Khaishi,S Limb of Khaishi Syncline,J2hd2,Jurassic,Middle,Bajocian,1,1,Davis,{3C01E6A5-FB52-4AF2-9C3D-1DA13DE99ACA},davasey@ucdavis.edu_ucdavis,8/30/2022 13:29:35,davasey@ucdavis.edu_ucdavis,8/30/2022 13:37:06
G22042,61,8/30/2022 13:54:00,42.949828,42.192317,623.7000122,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,,MzMg,Enguri,Khaishi,S Limb of Khaishi Syncline,J2hd1,Jurassic,Middle,Bajocian,1,1,Davis,{D85CA46F-63C6-4C10-92BA-2CFC8A0E7F12},davasey@ucdavis.edu_ucdavis,8/30/2022 13:55:15,davasey@ucdavis.edu_ucdavis,8/30/2022 13:55:15
G22044,63,8/30/2022 15:07:01,42.94182,42.16548,622.1151123,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,Reported as Jurassic gabbro intruding sedimentary unit J2s2.  Collected for geochemistry analysis.,MzMg,Enguri,Khaishi,S Limb of Khaishi Syncline,buJ2,Jurassic,Middle,Bajocian,1,1,Davis,{B6D3D5D4-6F1B-499E-8F7F-EDAB86727440},naniemi_umich,8/30/2022 15:08:04,naniemi_umich,8/30/2022 15:08:04
G22045,64,8/30/2022 15:52:00,42.9291,42.192865,714.1101074,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,Sample of diabase (J2) intruded in to J2s2 sedimentary turbidities.,MzMg,Enguri,Khashi,S Limb of Khashi Syncline,bJ2,Jurassic,Middle,Bajocian,1,1,Davis,{8C3ABF3D-EE6A-4732-B947-B3F34654D30C},naniemi_umich,8/30/2022 15:52:22,naniemi_umich,8/30/2022 15:52:22
G22046C,67,8/31/2022 8:05:42,42.932878,42.193033,690.2807007,Igneous,Intermed. Volcanic,1.0,0.0,0,1.0,0,0.0,0.0,0.0,,Intermediate volcanic flows intercalated into upper turbidities of unit J2s2. Latite? Up to 3 m thick.,MzMg,Enguri,Khashi,S Limb of Khashi Syncline,J2s2,Jurassic,Middle,Aalenian,1,1,Davis,{810FF0DC-AC45-4ACC-9DFF-3C8615582685},naniemi_umich,8/31/2022 8:02:17,naniemi_umich,8/31/2022 8:05:48
G22049,73,8/31/2022 12:54:07,42.93676,42.149607,565.2999878,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,may actually be a sandstone,MzMg,Enguri,Idliani,,J2hd2,Jurassic,Middle,Bajocian,1,1,Davis,{499FDAF7-5291-49AF-BEDE-F6F725B75CB0},davasey@ucdavis.edu_ucdavis,8/31/2022 12:51:09,davasey@ucdavis.edu_ucdavis,8/31/2022 12:54:17
G22051,74,8/31/2022 14:28:36,42.933595,42.1277,644.0999756,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,pretty crappy,MzMg,Enguri,Idliani,,J2hd3,Jurassic,Middle,Bajocian,1,1,Davis,{264913C5-BCDB-4650-85AB-71A3F107DE7D},davasey@ucdavis.edu_ucdavis,8/31/2022 14:26:12,davasey@ucdavis.edu_ucdavis,8/31/2022 14:28:45
G22053,77,9/2/2022 6:59:00,42.919016,42.083353,541.6171265,Sedimentary,Sandstone,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,"J2hd2.  Probably a proximal volcaniclastic sandstone, but section to check for primary textures for geochemical analysis.",MzMg,Enguri,Idliani,,J2hd2,Jurassic,Middle,Bajocian,10,1,Davis,{59817A85-1257-437D-8955-743E37A6F6A6},naniemi_umich,9/2/2022 6:59:59,naniemi_umich,9/2/2022 6:59:59
G22063,87,9/3/2022 8:54:00,42.902454,42.057646,565.2142944,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,"Geochem sample from J2hd3 in the Jvari domain, north side.",MzMg,Enguri,Jvari,N Jvari,J2hd3,Jurassic,Middle,Bajocian,10,1,Davis,{3FC52854-3216-4A3E-88C6-BD32C9EEACD8},naniemi_umich,9/3/2022 8:54:18,naniemi_umich,9/3/2022 8:54:18
G22065,89,9/3/2022 10:26:47,42.882074,42.036058,568.0919189,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,"Mafic dike in J2hd3, north side of Jvari domain",MzMg,Enguri,Jvari,N Jvari,J2hd3,Jurassic,Middle,Bajocian,10,1,Davis,{2F62749F-1A66-45F8-B6AB-EDD75EB2FBCC},naniemi_umich,9/3/2022 10:16:31,naniemi_umich,9/3/2022 10:27:00
G22066,90,9/3/2022 10:26:03,42.88198,42.035591,564.1644897,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,Mafic dike in unit J2hd3. Cooling joints (columnar) are distinguishing features from surrounding volcaniclastic sandstones and breccias.,MzMg,Enguri,Jvari,N Jvari,J2hd3,Jurassic,Middle,Bajocian,10,1,Davis,{C336AC9F-5810-44FE-A117-00304D7975C7},naniemi_umich,9/3/2022 10:24:04,naniemi_umich,9/3/2022 10:26:32
G22067,91,9/3/2022 10:57:01,42.869079,42.031702,606.2000122,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,dike intruding into volcaniclastic sand,MzMg,Enguri,Jvari,S Jvari,J2hd2,Jurassic,Middle,Bajocian,10,1,Davis,{E4E5E430-B792-4685-9BD9-85C7E465353F},davasey@ucdavis.edu_ucdavis,9/3/2022 10:57:15,davasey@ucdavis.edu_ucdavis,9/3/2022 10:58:13
G22068A,92,9/3/2022 11:24:28,42.864836,42.03427,621.0,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,intrusive dike or sill in volcaniclastics,MzMg,Enguri,Jvari,S Jvari,J2hd2,Jurassic,Middle,Bajocian,10,1,Davis,{8F208211-A6B5-4AB9-A02B-1A57C1D361BF},davasey@ucdavis.edu_ucdavis,9/3/2022 11:13:02,davasey@ucdavis.edu_ucdavis,9/3/2022 11:24:33
G22068B,93,9/3/2022 11:25:01,42.864821,42.034373,613.0999756,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,"second, slightly coarser flow (?) on top of 68A",MzMg,Enguri,Jvari,S Jvari,J2hd2,Jurassic,Middle,Bajocian,10,1,Davis,{F40C2BE5-C456-4520-8977-A36E8636F1B6},davasey@ucdavis.edu_ucdavis,9/3/2022 11:26:17,davasey@ucdavis.edu_ucdavis,9/3/2022 11:26:17
G22068C,94,9/3/2022 11:28:00,42.864743,42.034496,621.7000122,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,third flow (?) on top of 68B and 68C,MzMg,Enguri,Jvari,S Jvari,J2hd2,Jurassic,Middle,Bajocian,10,1,Davis,{BC0217BB-6FD5-44EF-AB0E-F068B050AA5E},davasey@ucdavis.edu_ucdavis,9/3/2022 11:30:11,davasey@ucdavis.edu_ucdavis,9/3/2022 11:30:11
G22069,95,9/3/2022 11:50:23,42.839208,42.017596,605.7000122,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,flow parallel to bedding,MzMg,Enguri,Jvari,S Jvari,J2hd2,Jurassic,Middle,Bajocian,10,1,Davis,{3B1139AA-DB69-430D-A155-9AF60068F568},davasey@ucdavis.edu_ucdavis,9/3/2022 11:51:46,davasey@ucdavis.edu_ucdavis,9/3/2022 11:51:46
G22076,6,9/5/2022 9:54:02,42.824153,42.80577,901.310791,Igneous,Basalt,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Igneous sill (basalt?), intruded in to C1-Tch. Presumably Jurassic.",MzMg,Tskhenistskali,Panaga,,,Jurassic?,,,12,1,Davis,{074B0798-7374-46D7-A977-E0CB662E6F24},naniemi_umich,9/5/2022 9:55:13,naniemi_umich,9/5/2022 9:55:13
G22081,11,9/5/2022 12:52:09,42.799433,42.758739,823.2000122,Igneous,Mafic Intrusive,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,possible hbl for Ar dating,MzMg,Tskhenistskali,Lentekhi,N. limb of Lentekhi syncline,βJ2,Jurassic,Middle,,12,1,Davis,{5A6119DB-26AB-410F-A89B-C9216F9F5F61},davasey@ucdavis.edu_ucdavis,9/5/2022 12:46:14,davasey@ucdavis.edu_ucdavis,9/5/2022 12:52:43
G22091,27,9/6/2022 13:12:11,42.723374,42.760059,676.7000122,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,"mapped as quartz diorite porphyry, but green with mafic phenocrysts (px?) outcrop pretty far up hill from road intruded into J2s2",MzMg,Tskhenistskali,Mazashi,,qδμJ2,Jurassic,Middle,,12,1,Davis,{E0A577FC-A3C3-4D38-8336-526BAC2D296D},davasey@ucdavis.edu_ucdavis,9/6/2022 13:12:19,davasey@ucdavis.edu_ucdavis,9/6/2022 13:12:49
G22092,28,9/6/2022 14:03:09,42.706836,42.750772,837.0562134,Sedimentary,Sandstone,1.0,1.0,1,0.0,0,0.0,0.0,0.0,,"Volcaniclastic sandstone in J2hd1 on west side of river, difficult drive and climb through raspberry bushes.",Provenance,Tskhenistskali,Mazashi,,J2hd1,Jurassic,Middle,Bajocian,12,1,Davis,{A18B8FEB-6A99-495E-9DEF-E8965C0EED7B},naniemi_umich,9/6/2022 14:02:30,naniemi_umich,9/6/2022 14:03:21
G22094,31,9/7/2022 12:43:39,42.679475,42.770126,531.7797852,Igneous,Mafic Intrusive,1.0,1.0,0,1.0,1,0.0,0.0,0.0,,"Igneous intrusive at base of J2hd2 where it overlies J2s2 on the east side of the Tskhanis Tskali river north of Tsageri, possibly lowermost J2hd2 or intruded into J2s2",MzMg,Tskhenistskali,Mazashi,,,Jurassic,Middle,,12,1,Davis,{EB44600F-3432-460F-AB57-A24C0941AE0B},naniemi_umich,9/7/2022 12:00:24,davasey@ucdavis.edu_ucdavis,9/7/2022 12:43:55
G22096,32,9/7/2022 13:24:00,42.698229,42.760637,564.9133911,Igneous,Mafic Intrusive,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,Intrusive (buJ2) in to J2s2 north of Tsageri.,MzMg,Tskhenistskali,Mazashi,,βμJ2,Jurassic,Middle,,12,1,Davis,{C382FED3-44A9-4D5C-A6E0-C093DFC1293E},naniemi_umich,9/7/2022 13:24:32,naniemi_umich,9/7/2022 13:24:50
G22108A,45,9/9/2022 6:09:46,42.554438,42.684758,411.4505005,Igneous,Mafic Intrusive,1.0,1.0,0,1.0,0,0.0,1.0,0.0,,"Mafic igneous intrusive w olivine and pyroxene(?) in J2h2, Khvamli anticline, north limb",MzMg,Tskhenistskali,Tsageri-Khvamli,N. limb of Khvamli anticline,J2hd,Jurassic,Middle,Bajocian,16,1,Davis,{D6DD89D5-2ADC-4148-9ECA-3C880D79AA70},naniemi_umich,9/9/2022 6:10:42,naniemi_umich,9/9/2022 6:10:42
G22109,47,9/9/2022 6:44:00,42.553377,42.681753,427.9909973,Igneous,Mafic Intrusive,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Mafic intrusive in J2hd on north limb of Khvamli anticline, for geochemistry.",MzMg,Tskhenistskali,Tsageri-Khvamli,N. limb of Khvamli anticline,J2hd,Jurassic,Middle,Bajocian,16,1,Davis,{71CED2BA-E0FA-4EE9-82D4-32E35411882D},naniemi_umich,9/9/2022 6:44:30,naniemi_umich,9/9/2022 6:44:30
G22110,48,9/9/2022 7:11:00,42.539543,42.65004,368.693512,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,"Block of mafic intrusive in block and ash flow, J2hd, northern side of Khvamli anticline.",MzMg,Tskhenistskali,Tsageri-Khvamli,N. limb of Khvamli anticline,J2hd,Jurassic,Middle,Bajocian,16,1,Davis,{777074C1-7826-4302-9417-3E7959676333},naniemi_umich,9/9/2022 7:11:33,naniemi_umich,9/9/2022 7:13:11
G22111,49,9/9/2022 7:40:36,42.53125,42.646923,347.2080994,Igneous,Basalt,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Basalt flows with columnar joints in Khvamli anticline. Labeled J2tu, appears to underlie J2hd, no evidence of volcanicladtic rocks.",MzMg,Tskhenistskali,Tsageri-Khvamli,N. limb of Khvamli anticline,J2τμ,Jurassic,Middle,,16,1,Davis,{95E9D27F-230C-4E1A-923E-A3652F631FC1},naniemi_umich,9/9/2022 7:35:19,naniemi_umich,9/9/2022 7:40:48
G22114,51,9/9/2022 10:04:24,42.467529,42.599876,296.1094971,Igneous,Mafic Intrusive,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Unit BhyJ2 on 50k geologic maps, outcrop pattern indicates a large dike or sill. Intruded J2bj2 on south side of Khvamli anticline.",MzMg,Tskhenistskali,Tsageri-Khvamli,S. limb of Khvamli anticline,ΒhyJ2,Jurassic,Middle,,16,1,Davis,{719A6E9F-2F09-4AE0-9E72-56C55B0E127D},naniemi_umich,9/9/2022 10:01:11,naniemi_umich,9/9/2022 10:04:51
G22115B,53,9/9/2022 11:19:01,42.42668,42.541539,283.9632874,Igneous,Andesite,0.0,1.0,0,1.0,0,0.0,0.0,0.0,,Tuff (?) bed in Crt-d.,MzMg,Tskhenistskali,Tsageri-Khvamli,S. limb of Khvamli anticline,K2t2+cn,Cretaceous,Upper,Cenomanian-Turonian,16,1,Davis,{EB0656A9-81B7-48E4-A8F5-83540657EAA0},naniemi_umich,9/9/2022 11:19:07,naniemi_umich,9/9/2022 11:19:27
G22118,54,9/10/2022 8:15:09,42.484837,42.77875,322.8158875,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,Clast of basalt from volcaniclastic sandstone at the base of J2bj_2^3 for geochemistry.,MzMg,Tskhenistskali,Tsageri-Khvamli,N. limb of Khvamli anticline,J2bj23,Jurassic,Middle,Bajocian,16,1,Davis,{9486C1BF-92FE-4490-A5E6-961FDF2627A7},naniemi_umich,9/10/2022 8:06:20,naniemi_umich,9/10/2022 8:15:41
G22119,55,9/10/2022 10:25:01,42.426544,42.712603,,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,Mafic clast from volcaniclastic conglomerate in unit J2bj_2^1.,MzMg,Tskhenistskali,Tsageri-Khvamli,S. limb of Khvamli anticline,J2bj21,Jurassic,Middle,Bajocian,16,1,Davis,{CDC9DBC7-EE0E-4321-A9F0-3845DA9F0A31},naniemi_umich,9/10/2022 10:22:16,naniemi_umich,9/10/2022 10:25:06
G22120,56,9/10/2022 11:14:00,42.360592,42.700921,321.0975037,Igneous,Intermed. Plutonic,1.0,1.0,0,1.0,1,0.0,0.0,0.0,,"Intrusion north of Kutaisi. Possibly Neogene, maps do not agree on age, location, or composition. Either K2 or T intruding J2bj2.",MzMg,Tskhenistskali,Tsageri-Khvamli,S. limb of Khvamli anticline,θK2,Cretaceous,Upper,,16,1,Davis,{24490594-7D8E-41F2-8BD2-446667F11C91},naniemi_umich,9/10/2022 11:05:40,naniemi_umich,9/10/2022 11:14:06
G22121,57,9/10/2022 11:39:00,42.320186,42.699631,224.2305145,Igneous,Basalt,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Basalt, labeled Neogene on geologic maps, but questionable why. Might be part of the Jurassic Bajocian.",MzMg,Tskhenistskali,Tsageri-Khvamli,S. limb of Khvamli anticline,βTr,Tertiary?,,,16,1,Davis,{86780A1F-755C-4994-8AD1-14CA58CC6CC0},naniemi_umich,9/10/2022 11:40:03,naniemi_umich,9/10/2022 11:40:03
G22122,58,9/10/2022 13:09:00,42.318166,42.796048,271.6653748,Igneous,Intermed. Plutonic,1.0,1.0,0,1.0,1,0.0,0.0,0.0,,"Intrusive intermediate rock on 1:200k Soviet maps, marked as mu-theta-Tr, presumably means Tertiary. Appears to be a plutonic diorite based on hand sample inspection in the field.",MzMg,Tskhenistskali,Tsageri-Khvamli,S. limb of Khvamli anticline,θK2,Cretaceous,Upper,,16,1,Davis,{04C200CA-F1BD-4041-8FBD-14A8F5400113},naniemi_umich,9/10/2022 13:09:28,naniemi_umich,9/10/2022 13:09:28
G22125,4,9/11/2022 12:58:12,42.093664,43.418944,499.1636047,Igneous,Granitoid,1.0,1.0,0,1.0,1,0.0,0.0,0.0,,"Granite in Dzirula massif for geochronology, geochemistry and thermochronology. Gamma-J.",MzMg,Dzirula,Dzirula,,γJ2Bt,Jurassic,Middle,,11,1,Davis,{ADC8D2B7-C608-456B-8061-20F08400204A},naniemi_umich,9/11/2022 12:50:32,naniemi_umich,9/11/2022 12:58:29
G22126,5,9/11/2022 13:00:00,42.093857,43.418565,506.7675171,Igneous,Mafic Intrusive,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,Mafic dike (basaltic) in Jurassic granite. Not shown on maps. For geochem analysis.,MzMg,Dzirula,Dzirula,,,Jurassic,Middle,,11,1,Davis,{F1D49488-BF22-4994-A7AE-CD3969757200},naniemi_umich,9/11/2022 13:00:31,naniemi_umich,9/11/2022 13:00:31
G22127,6,9/11/2022 13:45:00,42.046331,43.496874,950.579895,Igneous,Granitoid,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Paleozoic granite from Rikoti Pass, Dzirula massif for Hf and geochron.",MzMg,Dzirula,Dzirula,,qδζPz2,Ordovician,,,19,1,Davis,{23006CC7-B8D3-4EE1-8D46-A9E60DDC41B1},naniemi_umich,9/11/2022 13:45:16,naniemi_umich,9/11/2022 13:45:16
G22129,8,9/12/2022 8:24:00,41.989598,43.387886,539.6549072,Igneous,Andesite,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Mafic lavas (andesitic?) with columnar jointing near the top of exposed J2b on the south side of Dzirula. Exposed user train viaduct. Cr on 200k map, but likely J2bj.",MzMg,Dzirula,Dzirula,,J2bj,Jurassic,Middle,Bajocian,19,1,Davis,{70F4AFB5-E138-4A74-AE8F-40680ADEF8D0},naniemi_umich,9/12/2022 8:25:30,naniemi_umich,9/12/2022 8:25:30
G22130,9,9/12/2022 9:31:00,42.018978,43.464742,850.1725464,Igneous,Intermed. Plutonic,1.0,1.0,0,1.0,1,0.0,0.0,0.0,,"Jurassic granitoid from south side of Dzirula, just below Cretaceous unconformity.",Provenance,Dzirula,Dzirula,,γJ2Bt,Jurassic,Middle,,19,1,Davis,{F661A500-7E10-4F67-90DC-9CADEAB8A786},naniemi_umich,9/12/2022 9:31:47,naniemi_umich,9/12/2022 9:31:47
G22131,10,9/12/2022 9:52:14,42.019584,43.476643,871.6066895,Igneous,Mafic Intrusive,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,"Mafic intrusive, qpJ2B on south edge of Dzirula, for geochemistry.",MzMg,Dzirula,Dzirula,,qπJ2B,Jurassic,Middle,,19,1,Davis,{2AF450D9-EC37-4174-8DD0-AB88CFC55179},naniemi_umich,9/12/2022 9:48:46,naniemi_umich,9/12/2022 9:52:26
G22138,17,9/15/2022 7:03:01,42.709773,44.627859,1435.768189,Igneous,Granitoid,0.0,1.0,0,0.0,1,0.0,0.0,0.0,,Resampling gtoid with UPb date reported in Vasey et Al 2020. Sample V16046D. Resampled in case we need to redo Ar-bio analysis.,Provenance,Aragvi-Tergi,Gveleti,Basement,Pz2+3,Carboniferous,,,20,1,Davis,{F240E7AB-2FC9-4288-8D24-6D228C3152F2},escowgill@ucdavis.edu_ucdavis,9/15/2022 7:05:27,escowgill@ucdavis.edu_ucdavis,9/15/2022 7:05:27
G22141,19,9/15/2022 9:19:09,42.687934,44.6379,1622.422974,Metamorphic,Other,0.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Metabasalt in Pliesbachian near Stepantsminda. Metamorphosed, greenschist facies? For geochemistry, maybe geochronology. Pillow basalts are observed, ductile deformation fabrics.",MzMg,Aragvi-Tergi,Pasanauri,Kazbegi,J1p2,Jurassic,Early,Pliensbachian,20,1,Davis,{FA60433D-FDAE-44F3-AB79-3D7D3EE45D3D},naniemi_umich,9/15/2022 9:20:13,naniemi_umich,9/15/2022 9:20:13
G22173,66,9/19/2022 10:31:01,42.137324,44.709969,1275.582642,Igneous,Granitoid,1.0,1.0,0,1.0,1,0.0,0.0,0.0,,"Unit tP in Dusheti thrust sheet. Mapped as a trachyte, but appears to be a weathered granitoid.",Provenance,Aragvi-Tergi,Jinvali,Dusheti,tP,P,,,26,1,Davis,{B304F19C-EC3C-4633-BC9D-FF8F98438774},naniemi_umich,9/19/2022 10:31:44,naniemi_umich,9/19/2022 10:31:44
G22179,68,9/20/2022 7:03:29,42.155788,44.718712,972.3410034,Sedimentary,Other,0.0,1.0,0,0.0,0,0.0,0.0,0.0,,Veins in P23 for geochemical analysis for fluid circulation.,Raman,Aragvi-Tergi,Jinvali,Dusheti,P23,P,Eocene,Bartonian,21,1,Davis,{F41D14A3-4E98-4A55-A078-B40F1DCCED54},naniemi_umich,9/20/2022 6:39:32,naniemi_umich,9/20/2022 7:25:49
